date,campaign_id,channel,spend,campaign_pressure
2024-01-01,none,none,249.81,0.0
2024-01-08,none,none,422.82,0.0
2024-01-15,none,none,177.83,0.0
2024-01-22,none,none,413.36,0.0
2024-01-29,none,none,159.28,0.0
2024-02-05,none,none,357.18,0.0
2024-02-12,none,none,469.43,0.0
2024-02-19,none,none,371.9,0.0
2024-02-26,none,none,188.14,0.0
2024-03-04,none,none,81.52,0.0
2024-03-11,none,none,309.17,0.0
2024-03-18,none,none,77.27,0.0
2024-03-25,C2024_MEMORY_FIELD,mixed_video_social,5893.86,0.25
2024-04-01,C2024_MEMORY_FIELD,mixed_video_social,6730.85,0.27
2024-04-08,C2024_MEMORY_FIELD,mixed_video_social,7039.78,0.29
2024-04-15,C2024_MEMORY_FIELD,mixed_video_social,7686.04,0.31
2024-04-22,C2024_MEMORY_FIELD,mixed_video_social,8003.71,0.33
2024-04-29,C2024_MEMORY_FIELD,mixed_video_social,7910.71,0.35
2024-05-06,C2024_MEMORY_FIELD,mixed_video_social,8529.78,0.37
2024-05-13,C2024_MEMORY_FIELD,mixed_video_social,8837.91,0.39
2024-05-20,C2024_MEMORY_FIELD,mixed_video_social,9569.32,0.41
2024-05-27,C2024_MEMORY_FIELD,mixed_video_social,10066.01,0.43
2024-06-03,C2024_MEMORY_FIELD,mixed_video_social,10553.95,0.45
2024-06-10,C2024_MEMORY_FIELD,mixed_video_social,10554.92,0.48
2024-06-17,C2024_MEMORY_FIELD,mixed_video_social,10337.39,0.468
2024-06-24,C2024_MEMORY_FIELD,mixed_video_social,10963.33,0.456
2024-07-01,C2024_MEMORY_FIELD,mixed_video_social,10219.76,0.444
2024-07-08,C2024_MEMORY_FIELD,mixed_video_social,9838.25,0.432
2024-07-15,C2024_MEMORY_FIELD,mixed_video_social,9272.34,0.42
2024-07-22,C2024_MEMORY_FIELD,mixed_video_social,9770.23,0.408
2024-07-29,C2024_MEMORY_FIELD,mixed_video_social,9242.02,0.396
2024-08-05,C2024_MEMORY_FIELD,mixed_video_social,8780.73,0.384
2024-08-12,C2024_MEMORY_FIELD,mixed_video_social,8627.02,0.372
2024-08-19,C2024_MEMORY_FIELD,mixed_video_social,8880.0,0.36
2024-08-26,C2024_MEMORY_FIELD,mixed_video_social,8286.37,0.348
2024-09-02,none,none,106.06,0.0
2024-09-09,none,none,181.88,0.0
2024-09-16,none,none,40.42,0.0
2024-09-23,none,none,66.64,0.0
2024-09-30,none,none,435.8,0.0
2024-10-07,none,none,206.69,0.0
2024-10-14,none,none,249.75,0.0
2024-10-21,none,none,244.78,0.0
2024-10-28,none,none,109.6,0.0
2024-11-04,none,none,300.78,0.0
2024-11-11,none,none,440.2,0.0
2024-11-18,none,none,241.83,0.0
2024-11-25,none,none,52.44,0.0
2024-12-02,none,none,34.25,0.0
2024-12-09,none,none,121.16,0.0
2024-12-16,none,none,46.26,0.0
2024-12-23,none,none,91.61,0.0
2024-12-30,none,none,27.93,0.0
