respondent_id,date,wave_id,brand_id,product_id,vertical_id,market,segment,ad_recall,brand_link,distinctive_asset,trust,value_for_money,premium,fun,personal_relevance,consideration,competitor_salience
R000000,2024-01-01,2024-01,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,1,1,0,2,5,2,1,4,0,0
R000001,2024-01-01,2024-01,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,0,1,2,2,4,1,4,0,0
R000002,2024-01-01,2024-01,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,1,1,1,4,3,2,5,1,1,0
R000003,2024-01-01,2024-01,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,0,0,2,4,2,5,4,0,0
R000004,2024-01-01,2024-01,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,0,0,3,2,3,2,1,0,1
R000005,2024-01-01,2024-01,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,0,0,2,2,3,5,4,0,1
R000006,2024-01-01,2024-01,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,0,0,2,3,3,1,2,0,1
R000007,2024-01-01,2024-01,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,0,0,3,1,2,4,2,0,0
R000008,2024-01-01,2024-01,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,1,1,4,1,5,4,4,0,0
R000009,2024-01-01,2024-01,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,0,0,2,2,4,4,1,0,1
R000010,2024-02-01,2024-02,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,1,0,1,5,1,5,3,4,0,1
R000011,2024-02-01,2024-02,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,0,0,2,2,4,5,3,0,1
R000012,2024-02-01,2024-02,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,0,1,3,2,3,2,2,0,1
R000013,2024-02-01,2024-02,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,0,0,3,4,1,3,5,0,1
R000014,2024-02-01,2024-02,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,0,0,3,3,1,1,2,0,1
R000015,2024-02-01,2024-02,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,0,0,4,5,4,5,4,1,0
R000016,2024-02-01,2024-02,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,1,1,1,4,2,4,3,4,0,1
R000017,2024-02-01,2024-02,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,0,1,4,1,1,4,3,0,1
R000018,2024-02-01,2024-02,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,1,1,0,4,3,4,1,5,1,0
R000019,2024-02-01,2024-02,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,0,0,1,1,5,4,1,0,1
R000020,2024-03-01,2024-03,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,1,1,0,5,1,5,3,2,1,1
R000021,2024-03-01,2024-03,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,1,1,4,5,3,4,5,1,0
R000022,2024-03-01,2024-03,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,0,1,5,2,3,3,4,1,0
R000023,2024-03-01,2024-03,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,1,0,0,1,4,3,4,1,0,1
R000024,2024-03-01,2024-03,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,1,0,1,2,3,3,5,2,0,0
R000025,2024-03-01,2024-03,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,1,0,4,4,5,4,2,1,0
R000026,2024-03-01,2024-03,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,1,0,1,5,3,5,3,4,1,1
R000027,2024-03-01,2024-03,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,0,0,5,1,2,1,3,0,1
R000028,2024-03-01,2024-03,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,0,0,3,2,2,5,2,0,1
R000029,2024-03-01,2024-03,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,1,1,1,1,3,4,3,5,0,1
R000030,2024-04-01,2024-04,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,1,1,5,5,5,5,4,0,0
R000031,2024-04-01,2024-04,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,1,1,5,2,5,4,5,0,0
R000032,2024-04-01,2024-04,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,1,0,0,4,1,5,4,5,1,0
R000033,2024-04-01,2024-04,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,0,0,4,1,5,2,3,0,0
R000034,2024-04-01,2024-04,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,0,0,2,1,3,2,3,0,0
R000035,2024-04-01,2024-04,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,0,0,2,4,2,3,2,0,1
R000036,2024-04-01,2024-04,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,0,0,2,1,2,2,2,0,1
R000037,2024-04-01,2024-04,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,0,0,1,4,3,2,2,0,1
R000038,2024-04-01,2024-04,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,1,0,5,4,2,5,3,0,1
R000039,2024-04-01,2024-04,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,0,1,1,3,5,5,3,0,1
R000040,2024-05-01,2024-05,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,1,0,1,1,5,5,4,1,1,1
R000041,2024-05-01,2024-05,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,1,0,1,1,4,1,2,3,0,1
R000042,2024-05-01,2024-05,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,1,1,1,5,4,5,5,3,1,0
R000043,2024-05-01,2024-05,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,1,0,5,1,5,4,5,1,1
R000044,2024-05-01,2024-05,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,0,0,5,4,3,5,4,0,0
R000045,2024-05-01,2024-05,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,0,0,4,3,5,4,5,1,1
R000046,2024-05-01,2024-05,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,1,0,5,5,1,2,2,1,1
R000047,2024-05-01,2024-05,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,0,1,5,4,2,1,3,0,0
R000048,2024-05-01,2024-05,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,1,0,0,1,5,1,4,2,0,1
R000049,2024-05-01,2024-05,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,0,0,4,4,4,2,4,0,1
R000050,2024-06-01,2024-06,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,1,1,0,4,5,5,5,4,0,0
R000051,2024-06-01,2024-06,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,0,0,3,1,5,4,2,0,1
R000052,2024-06-01,2024-06,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,1,1,1,5,5,4,4,1,1,0
R000053,2024-06-01,2024-06,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,1,1,4,1,2,5,2,1,0
R000054,2024-06-01,2024-06,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,1,1,0,5,2,5,2,2,1,0
R000055,2024-06-01,2024-06,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,0,0,1,2,4,2,3,0,1
R000056,2024-06-01,2024-06,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,1,1,4,4,4,2,4,1,0
R000057,2024-06-01,2024-06,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,0,0,4,5,4,4,4,0,1
R000058,2024-06-01,2024-06,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,0,0,3,2,4,4,5,1,1
R000059,2024-06-01,2024-06,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,0,1,5,1,2,3,2,0,0
R000060,2024-07-01,2024-07,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,0,0,1,1,1,4,3,0,1
R000061,2024-07-01,2024-07,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,1,0,1,2,4,4,5,4,1,0
R000062,2024-07-01,2024-07,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,1,0,0,5,3,1,5,5,1,0
R000063,2024-07-01,2024-07,brand_a,aurora_rtd_coffee,rtd_beverages,ID,gen_z_urban,0,1,1,3,3,5,4,1,1,0
