campaign_id,brand_id,product_id,vertical_id,creative_id,channel,market,segment,date,start_date,end_date,spend,impressions,reach,frequency,clicks
C001,brand_a,aurora_rtd_coffee,rtd_beverages,CR001,paid_social,ID,premium_loyalists,2024-04-01,2024-04-01,2024-09-01,40000.0,3000000,1000000,2.0,88000
C001,brand_a,aurora_rtd_coffee,rtd_beverages,CR001,paid_social,ID,premium_loyalists,2024-05-01,2024-04-01,2024-09-01,75267.12,5645034,1881678,3.47,165587
C001,brand_a,aurora_rtd_coffee,rtd_beverages,CR001,paid_social,ID,premium_loyalists,2024-06-01,2024-04-01,2024-09-01,97063.39,7279754,2426584,4.38,213539
C001,brand_a,aurora_rtd_coffee,rtd_beverages,CR001,paid_social,ID,premium_loyalists,2024-07-01,2024-04-01,2024-09-01,97063.39,7279754,2426584,4.38,213539
C001,brand_a,aurora_rtd_coffee,rtd_beverages,CR001,paid_social,ID,premium_loyalists,2024-08-01,2024-04-01,2024-09-01,75267.12,5645034,1881678,3.47,165587
C001,brand_a,aurora_rtd_coffee,rtd_beverages,CR001,paid_social,ID,premium_loyalists,2024-09-01,2024-04-01,2024-09-01,40000.0,3000000,1000000,2.0,88000
C002,brand_a,aurora_protein_bar,snacks,CR002,video,ID,gen_z_urban,2024-07-01,2024-07-01,2025-01-01,40000.0,3000000,1000000,2.0,88000
C002,brand_a,aurora_protein_bar,snacks,CR002,video,ID,gen_z_urban,2024-08-01,2024-07-01,2025-01-01,70000.0,5250000,1750000,3.25,154000
C002,brand_a,aurora_protein_bar,snacks,CR002,video,ID,gen_z_urban,2024-09-01,2024-07-01,2025-01-01,91961.52,6897114,2299038,4.17,202315
C002,brand_a,aurora_protein_bar,snacks,CR002,video,ID,gen_z_urban,2024-10-01,2024-07-01,2025-01-01,100000.0,7500000,2500000,4.5,220000
C002,brand_a,aurora_protein_bar,snacks,CR002,video,ID,gen_z_urban,2024-11-01,2024-07-01,2025-01-01,91961.52,6897114,2299038,4.17,202315
C002,brand_a,aurora_protein_bar,snacks,CR002,video,ID,gen_z_urban,2024-12-01,2024-07-01,2025-01-01,70000.0,5250000,1750000,3.25,154000
C002,brand_a,aurora_protein_bar,snacks,CR002,video,ID,gen_z_urban,2025-01-01,2024-07-01,2025-01-01,40000.0,3000000,1000000,2.0,88000
C003,brand_b,borealis_energy,rtd_beverages,CR003,paid_social,PH,gen_z_urban,2024-10-01,2024-10-01,2025-04-01,40000.0,3000000,1000000,2.0,88000
C003,brand_b,borealis_energy,rtd_beverages,CR003,paid_social,PH,gen_z_urban,2024-11-01,2024-10-01,2025-04-01,70000.0,5250000,1750000,3.25,154000
C003,brand_b,borealis_energy,rtd_beverages,CR003,paid_social,PH,gen_z_urban,2024-12-01,2024-10-01,2025-04-01,91961.52,6897114,2299038,4.17,202315
C003,brand_b,borealis_energy,rtd_beverages,CR003,paid_social,PH,gen_z_urban,2025-01-01,2024-10-01,2025-04-01,100000.0,7500000,2500000,4.5,220000
C003,brand_b,borealis_energy,rtd_beverages,CR003,paid_social,PH,gen_z_urban,2025-02-01,2024-10-01,2025-04-01,91961.52,6897114,2299038,4.17,202315
C003,brand_b,borealis_energy,rtd_beverages,CR003,paid_social,PH,gen_z_urban,2025-03-01,2024-10-01,2025-04-01,70000.0,5250000,1750000,3.25,154000
C003,brand_b,borealis_energy,rtd_beverages,CR003,paid_social,PH,gen_z_urban,2025-04-01,2024-10-01,2025-04-01,40000.0,3000000,1000000,2.0,88000
C004,brand_b,borealis_sparkling,rtd_beverages,CR004,ooh,VN,value_seekers,2025-01-01,2025-01-01,2025-07-01,40000.0,3000000,1000000,2.0,88000
C004,brand_b,borealis_sparkling,rtd_beverages,CR004,ooh,VN,value_seekers,2025-02-01,2025-01-01,2025-07-01,70000.0,5250000,1750000,3.25,154000
C004,brand_b,borealis_sparkling,rtd_beverages,CR004,ooh,VN,value_seekers,2025-03-01,2025-01-01,2025-07-01,91961.52,6897114,2299038,4.17,202315
C004,brand_b,borealis_sparkling,rtd_beverages,CR004,ooh,VN,value_seekers,2025-04-01,2025-01-01,2025-07-01,100000.0,7500000,2500000,4.5,220000
C004,brand_b,borealis_sparkling,rtd_beverages,CR004,ooh,VN,value_seekers,2025-05-01,2025-01-01,2025-07-01,91961.52,6897114,2299038,4.17,202315
C004,brand_b,borealis_sparkling,rtd_beverages,CR004,ooh,VN,value_seekers,2025-06-01,2025-01-01,2025-07-01,70000.0,5250000,1750000,3.25,154000
C004,brand_b,borealis_sparkling,rtd_beverages,CR004,ooh,VN,value_seekers,2025-07-01,2025-01-01,2025-07-01,40000.0,3000000,1000000,2.0,88000
C005,brand_a,aurora_rtd_tea,rtd_beverages,CR005,search,PH,millennial_urban,2025-04-01,2025-04-01,2025-09-01,40000.0,3000000,1000000,2.0,88000
C005,brand_a,aurora_rtd_tea,rtd_beverages,CR005,search,PH,millennial_urban,2025-05-01,2025-04-01,2025-09-01,75267.12,5645034,1881678,3.47,165587
C005,brand_a,aurora_rtd_tea,rtd_beverages,CR005,search,PH,millennial_urban,2025-06-01,2025-04-01,2025-09-01,97063.39,7279754,2426584,4.38,213539
C005,brand_a,aurora_rtd_tea,rtd_beverages,CR005,search,PH,millennial_urban,2025-07-01,2025-04-01,2025-09-01,97063.39,7279754,2426584,4.38,213539
C005,brand_a,aurora_rtd_tea,rtd_beverages,CR005,search,PH,millennial_urban,2025-08-01,2025-04-01,2025-09-01,75267.12,5645034,1881678,3.47,165587
C005,brand_a,aurora_rtd_tea,rtd_beverages,CR005,search,PH,millennial_urban,2025-09-01,2025-04-01,2025-09-01,40000.0,3000000,1000000,2.0,88000
C006,brand_b,borealis_trail_mix,snacks,CR006,video,ID,value_seekers,2025-07-01,2025-07-01,2025-12-01,40000.0,3000000,1000000,2.0,88000
C006,brand_b,borealis_trail_mix,snacks,CR006,video,ID,value_seekers,2025-08-01,2025-07-01,2025-12-01,75267.12,5645034,1881678,3.47,165587
C006,brand_b,borealis_trail_mix,snacks,CR006,video,ID,value_seekers,2025-09-01,2025-07-01,2025-12-01,97063.39,7279754,2426584,4.38,213539
C006,brand_b,borealis_trail_mix,snacks,CR006,video,ID,value_seekers,2025-10-01,2025-07-01,2025-12-01,97063.39,7279754,2426584,4.38,213539
C006,brand_b,borealis_trail_mix,snacks,CR006,video,ID,value_seekers,2025-11-01,2025-07-01,2025-12-01,75267.12,5645034,1881678,3.47,165587
C006,brand_b,borealis_trail_mix,snacks,CR006,video,ID,value_seekers,2025-12-01,2025-07-01,2025-12-01,40000.0,3000000,1000000,2.0,88000
