creative_id,feature_name,target_spin,intended_strength,evidence_source
CR001,premium,1,1.0,strategy
CR001,trust,1,0.7,strategy
CR001,ad_recall,1,1.0,strategy
CR001,value_for_money,-1,0.4,strategy
CR002,fun,1,1.0,strategy
CR002,personal_relevance,1,0.8,strategy
CR002,brand_link,1,0.9,strategy
CR002,competitor_salience,-1,1.0,strategy
CR003,ad_recall,1,1.0,strategy
CR003,fun,1,0.9,strategy
CR003,brand_link,1,1.0,strategy
CR003,competitor_salience,-1,0.8,strategy
CR004,value_for_money,1,1.0,strategy
CR004,consideration,1,0.7,strategy
CR004,premium,-1,0.5,strategy
CR005,distinctive_asset,1,1.0,strategy
CR005,brand_link,1,0.8,strategy
CR005,trust,1,0.5,strategy
CR006,value_for_money,1,0.9,strategy
CR006,fun,1,0.6,strategy
CR006,personal_relevance,1,0.6,strategy
