date,brand_id,product_id,vertical_id,market,segment,campaign_id,conversions,cvr,cpa,revenue,roas,brand_lift
2024-04-01,brand_a,aurora_rtd_coffee,rtd_beverages,ID,premium_loyalists,C001,800,0.03,12.0,38000,3.0,0.01
2024-05-01,brand_a,aurora_rtd_coffee,rtd_beverages,ID,premium_loyalists,C001,920,0.034,11.4,41600,3.24,0.0276
2024-06-01,brand_a,aurora_rtd_coffee,rtd_beverages,ID,premium_loyalists,C001,1040,0.038,10.8,45200,3.48,0.0385
2024-07-01,brand_a,aurora_rtd_coffee,rtd_beverages,ID,premium_loyalists,C001,1160,0.042,10.2,48800,3.72,0.0385
2024-08-01,brand_a,aurora_rtd_coffee,rtd_beverages,ID,premium_loyalists,C001,1280,0.046,9.6,52400,3.96,0.0276
2024-09-01,brand_a,aurora_rtd_coffee,rtd_beverages,ID,premium_loyalists,C001,1400,0.05,9.0,56000,4.2,0.01
2024-07-01,brand_a,aurora_protein_bar,snacks,ID,gen_z_urban,C002,800,0.03,12.0,38000,3.0,0.01
2024-08-01,brand_a,aurora_protein_bar,snacks,ID,gen_z_urban,C002,900,0.0333,11.5,41000,3.2,0.025
2024-09-01,brand_a,aurora_protein_bar,snacks,ID,gen_z_urban,C002,1000,0.0367,11.0,44000,3.4,0.036
2024-10-01,brand_a,aurora_protein_bar,snacks,ID,gen_z_urban,C002,1100,0.04,10.5,47000,3.6,0.04
2024-11-01,brand_a,aurora_protein_bar,snacks,ID,gen_z_urban,C002,1200,0.0433,10.0,50000,3.8,0.036
2024-12-01,brand_a,aurora_protein_bar,snacks,ID,gen_z_urban,C002,1300,0.0467,9.5,53000,4.0,0.025
2025-01-01,brand_a,aurora_protein_bar,snacks,ID,gen_z_urban,C002,1400,0.05,9.0,56000,4.2,0.01
2024-10-01,brand_b,borealis_energy,rtd_beverages,PH,gen_z_urban,C003,800,0.03,12.0,38000,3.0,0.01
2024-11-01,brand_b,borealis_energy,rtd_beverages,PH,gen_z_urban,C003,900,0.0333,11.5,41000,3.2,0.025
2024-12-01,brand_b,borealis_energy,rtd_beverages,PH,gen_z_urban,C003,1000,0.0367,11.0,44000,3.4,0.036
2025-01-01,brand_b,borealis_energy,rtd_beverages,PH,gen_z_urban,C003,1100,0.04,10.5,47000,3.6,0.04
2025-02-01,brand_b,borealis_energy,rtd_beverages,PH,gen_z_urban,C003,1200,0.0433,10.0,50000,3.8,0.036
2025-03-01,brand_b,borealis_energy,rtd_beverages,PH,gen_z_urban,C003,1300,0.0467,9.5,53000,4.0,0.025
2025-04-01,brand_b,borealis_energy,rtd_beverages,PH,gen_z_urban,C003,1400,0.05,9.0,56000,4.2,0.01
