ad_recall,brand_link,distinctive_asset,trust,value_for_money,premium,fun,personal_relevance,consideration,competitor_salience
1,1,0,1,0,0,0,1,1,0
0,0,1,0,0,1,0,1,1,1
0,1,0,0,0,1,1,0,0,1
1,0,1,1,1,1,1,1,0,1
1,1,1,0,1,0,1,0,1,1
0,0,1,1,1,0,0,0,1,0
1,0,0,0,0,1,0,0,1,1
0,0,0,0,0,1,0,0,0,1
0,1,0,1,1,0,1,1,1,0
1,1,0,1,1,0,0,0,1,0
0,0,1,1,1,0,1,0,1,0
1,0,1,0,1,0,0,0,0,1
1,0,1,1,1,0,1,0,1,0
0,0,1,0,1,0,1,1,0,0
1,1,1,1,1,0,1,1,0,1
0,1,1,0,1,1,0,1,0,0
0,0,0,0,1,1,0,1,0,0
1,1,1,1,0,1,0,1,0,0
0,0,0,0,0,1,0,0,1,0
1,0,0,1,1,1,1,1,0,0
0,1,0,0,1,1,0,0,1,1
0,0,1,0,0,1,0,0,0,1
0,0,1,0,1,1,1,0,0,1
1,0,1,0,0,1,0,0,0,1
0,1,1,1,0,0,0,1,1,1
1,0,1,0,1,0,0,1,1,1
0,1,1,0,0,0,0,0,0,1
1,0,1,0,1,1,0,1,0,1
0,0,0,0,0,1,1,0,0,1
1,0,1,0,1,1,1,1,1,0
1,0,0,1,0,1,0,1,0,1
0,1,0,1,1,1,0,0,1,1
1,0,1,1,1,1,0,0,0,1
1,0,0,0,1,0,1,1,1,1
0,1,0,0,0,0,0,1,1,0
1,0,0,0,1,1,1,1,1,0
1,1,1,1,0,0,1,0,0,1
1,1,1,0,1,0,1,0,0,0
0,0,0,0,0,1,0,1,0,1
1,0,1,0,1,0,1,0,0,0
0,0,1,1,0,1,1,1,0,1
1,0,1,1,0,1,0,0,0,1
0,0,1,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,0,0
0,0,0,0,1,1,0,0,0,1
1,1,0,1,0,1,0,1,0,1
0,0,1,0,0,1,0,0,1,0
1,0,0,0,1,1,1,0,0,1
1,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,1,0,0,1
1,1,1,1,0,1,1,0,1,1
0,0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,1,0,1
0,0,0,1,1,0,0,0,1,1
0,0,0,1,1,1,0,0,1,0
1,1,1,1,1,0,1,1,1,0
1,0,1,1,1,1,0,1,0,0
0,1,1,0,0,0,1,1,0,1
0,0,1,0,1,0,1,0,0,0
0,1,1,0,1,1,0,1,1,1
