respondent_id,date,market,segment,brand,ad_recall,brand_link,distinctive_asset,trust,value_for_money,premium,fun,personal_relevance,consideration,competitor_salience
R00001,2024-01-01,ID,gen_z,brand_a,0,1,0,2,2,3,3,3,0,1
R00002,2024-01-01,ID,gen_z,brand_a,0,0,1,3,4,3,2,3,1,1
R00003,2024-01-01,ID,gen_z,brand_a,0,0,0,3,3,3,4,2,0,1
R00004,2024-01-01,ID,gen_z,brand_a,1,0,1,4,3,4,4,4,0,0
R00005,2024-01-01,ID,gen_z,brand_a,0,1,0,2,3,4,2,4,1,1
R00006,2024-01-01,ID,gen_z,brand_a,0,0,0,3,3,3,3,3,0,0
R00007,2024-01-01,ID,gen_z,brand_a,1,1,1,4,5,2,3,4,1,1
R00008,2024-01-01,ID,gen_z,brand_a,0,0,1,4,2,4,3,3,0,1
R00009,2024-01-01,ID,gen_z,brand_a,0,0,0,3,1,4,3,1,0,0
R00010,2024-01-01,ID,gen_z,brand_a,0,1,1,2,3,3,4,2,1,0
R00011,2024-01-01,ID,gen_z,brand_a,0,1,0,2,2,3,4,2,0,0
R00012,2024-01-01,ID,gen_z,brand_a,1,1,1,4,3,1,3,3,1,1
R00013,2024-01-01,ID,gen_z,brand_a,0,0,0,1,2,5,2,2,0,0
R00014,2024-01-01,ID,gen_z,brand_a,1,1,1,4,4,2,4,4,1,0
R00015,2024-01-01,ID,gen_z,brand_a,0,1,0,3,2,4,3,3,0,1
R00016,2024-01-01,ID,gen_z,brand_a,0,0,1,2,3,3,2,2,1,1
R00017,2024-01-01,ID,gen_z,brand_a,1,1,1,3,2,4,1,2,1,0
R00018,2024-01-01,ID,gen_z,brand_a,1,0,1,3,4,4,2,1,1,1
R00019,2024-01-01,ID,millennial,brand_a,0,0,1,3,2,3,2,3,0,0
R00020,2024-01-01,ID,millennial,brand_a,0,0,1,1,2,4,2,1,0,1
R00021,2024-01-01,ID,millennial,brand_a,1,0,1,3,4,4,3,4,0,1
R00022,2024-01-01,ID,millennial,brand_a,1,0,1,4,3,3,3,2,1,0
R00023,2024-01-01,ID,millennial,brand_a,0,1,0,2,2,3,4,3,0,1
R00024,2024-01-01,ID,millennial,brand_a,0,0,1,3,3,3,3,4,1,0
R00025,2024-01-01,ID,millennial,brand_a,0,0,1,3,3,4,4,3,1,0
R00026,2024-01-01,ID,millennial,brand_a,0,1,0,3,2,4,2,2,1,0
R00027,2024-01-01,ID,millennial,brand_a,0,1,0,1,2,4,4,1,1,0
R00028,2024-01-01,ID,millennial,brand_a,1,1,1,4,3,2,4,3,0,0
R00029,2024-01-01,ID,millennial,brand_a,1,0,0,2,3,3,2,2,0,1
R00030,2024-01-01,ID,millennial,brand_a,0,1,1,2,3,2,4,3,1,0
R00031,2024-01-01,ID,millennial,brand_a,1,0,0,2,3,3,1,3,0,1
R00032,2024-01-01,ID,millennial,brand_a,0,0,0,1,2,3,3,1,0,0
R00033,2024-01-01,ID,millennial,brand_a,1,1,1,2,4,3,3,4,1,1
R00034,2024-01-01,ID,millennial,brand_a,0,1,0,2,2,2,4,2,1,1
R00035,2024-01-01,ID,millennial,brand_a,0,1,1,3,3,4,1,2,0,1
R00036,2024-01-01,ID,millennial,brand_a,0,1,0,3,2,4,3,2,1,0
R00037,2024-01-01,ID,family,brand_a,0,0,0,4,4,2,2,4,0,0
R00038,2024-01-01,ID,family,brand_a,1,0,1,2,3,4,2,3,0,0
R00039,2024-01-01,ID,family,brand_a,0,0,0,2,1,4,4,1,1,1
R00040,2024-01-01,ID,family,brand_a,0,1,1,4,5,3,5,3,1,1
R00041,2024-01-01,ID,family,brand_a,0,0,0,3,3,3,4,3,0,0
R00042,2024-01-01,ID,family,brand_a,0,1,1,4,3,1,3,3,0,1
R00043,2024-01-01,ID,family,brand_a,0,1,0,3,2,2,3,3,0,0
R00044,2024-01-01,ID,family,brand_a,0,0,1,3,3,4,2,2,0,0
R00045,2024-01-01,ID,family,brand_a,0,1,1,2,5,4,4,3,1,0
R00046,2024-01-01,ID,family,brand_a,1,0,0,3,2,4,3,3,0,0
R00047,2024-01-01,ID,family,brand_a,1,1,1,4,2,2,2,4,0,1
R00048,2024-01-01,ID,family,brand_a,0,0,0,2,2,4,2,2,1,1
R00049,2024-01-01,ID,family,brand_a,1,0,1,3,4,3,4,4,0,1
R00050,2024-01-01,ID,family,brand_a,0,0,0,3,4,3,1,3,1,1
R00051,2024-01-01,ID,family,brand_a,1,1,0,3,3,2,2,3,1,1
R00052,2024-01-01,ID,family,brand_a,0,0,1,3,4,2,5,2,0,1
R00053,2024-01-01,ID,family,brand_a,1,1,0,3,3,4,4,4,0,0
R00054,2024-01-01,ID,family,brand_a,1,0,0,2,4,4,3,3,0,1
R00055,2024-01-01,ID,premium_seekers,brand_a,1,1,0,3,3,2,3,4,0,0
R00056,2024-01-01,ID,premium_seekers,brand_a,0,0,0,4,3,5,3,2,0,1
R00057,2024-01-01,ID,premium_seekers,brand_a,1,0,0,3,2,3,3,1,0,1
R00058,2024-01-01,ID,premium_seekers,brand_a,1,1,1,4,5,3,3,4,0,0
R00059,2024-01-01,ID,premium_seekers,brand_a,0,0,1,3,1,4,3,3,0,1
R00060,2024-01-01,ID,premium_seekers,brand_a,1,1,0,2,3,2,3,3,1,1
R00061,2024-01-01,ID,premium_seekers,brand_a,1,0,0,2,2,4,2,2,0,0
R00062,2024-01-01,ID,premium_seekers,brand_a,0,0,1,1,2,4,2,1,1,1
R00063,2024-01-01,ID,premium_seekers,brand_a,0,1,1,3,4,3,3,3,0,0
R00064,2024-01-01,ID,premium_seekers,brand_a,0,0,0,2,3,3,3,3,1,0
R00065,2024-01-01,ID,premium_seekers,brand_a,1,0,0,4,2,3,4,2,1,0
R00066,2024-01-01,ID,premium_seekers,brand_a,0,1,0,2,4,3,3,2,0,0
R00067,2024-01-01,ID,premium_seekers,brand_a,0,0,0,2,4,3,2,4,1,1
R00068,2024-01-01,ID,premium_seekers,brand_a,0,1,1,3,2,4,3,1,1,1
R00069,2024-01-01,ID,premium_seekers,brand_a,0,1,1,4,2,3,3,4,1,1
R00070,2024-01-01,ID,premium_seekers,brand_a,0,1,1,1,2,5,3,4,1,1
R00071,2024-01-01,ID,premium_seekers,brand_a,1,0,1,3,4,4,4,3,0,0
R00072,2024-01-01,ID,premium_seekers,brand_a,0,1,0,2,2,4,2,2,0,1
